canonico,variação,grau
abraao,ABRAAO,3
abraao,ABRAHAO,3
abraao,ABRAO,2
adam,ADAM,3
adam,ADAN,3
adam,ADANN,3
amanda,AMANDA,3
amanda,AMANNDA,3
amanda,AMMANDA,3
amanda,AAMANDA,2
amanda,AMANDIA,1
ana,ANA,3
ana,ANAH,3
ana,ANNA,3
ana,ANNAH,3
ana,AANA,1
ana,AN,1
ana,ANIA,1
ana,ANN,1
ane,ANE,3
ane,ANEE,3
ane,ANI,3
ane,ANIE,3
ane,ANNE,3
ane,ANNI,3
ane,ANNIE,3
ane,ANNY,3
ane,ANY,3
ane,ANNIA,1
antonia,ANTONIA,3
antonia,ANTANIA,1
antonia,ANTONA,1
antonio,ANNTONIO,3
antonio,ANTONIIO,3
antonio,ANTONIO,3
antonio,AANTONIO,2
antonio,ANTANIO,1
antonio,ANTENO,1
antonio,ANTOINE,1
antonio,ANTOINIO,1
antonio,ANTON,1
antonio,ANTONE,1
antonio,ANTONHY,1
antonio,ANTONI,1
antonio,ANTONIE,1
antonio,ANTONII,1
antonio,ANTONNI,1
antonio,ANTONNY,1
antonio,ANTONO,1
antonio,ANTONOO,1
antonio,ANTONUO,1
antonio,ANTONY,1
antonio,ANTTONY,1
debora,DEBHORA,3
debora,DEBORA,3
debora,DEBORAH,3
debora,DEBORHA,3
debora,DHEBORA,3
debora,DEBORAR,2
debora,DEBORRA,2
debora,BEBORA,1
debora,BEDORA,1
debora,DEDORA,1
regina,REGINA,3
regina,REJINA,3
silvio,SILVIO,3
silvio,SYLVIO,3